iter	RMSE
0	3823253.693
1	3661677.609
2	3506750.678
3	3359816.844
4	3217464.627
5	3088905.873
6	2959658.691
7	2836968.776
8	2719259.986
9	2608986.641
10	2501052.769
11	2402286.258
12	2303362.965
13	2211442.405
14	2129822.849
15	2053528.842
16	1975366.897
17	1900058.815
18	1831071.096
19	1770353.535
20	1701890.68
21	1639834.016
22	1584960.224
23	1531982.991
24	1479921.652
25	1425928.211
26	1375081.272
27	1328671.984
28	1287385.645
29	1243795.621
30	1202280.309
31	1164623.651
32	1127143.365
33	1090836.193
34	1059637.566
35	1027017.945
36	997906.7405
37	969903.177
38	943175.0156
39	916573.4812
40	893466.9361
41	868049.2524
42	843956.4402
43	821240.2039
44	803363.1057
45	783875.0778
46	763926.294
47	747899.2084
48	730468.7214
49	714802.4061
50	699250.3614
51	685522.9157
52	672202.0292
53	659325.5687
54	647259.1574
55	635108.0872
56	622671.5678
57	610719.9127
58	598872.4902
59	589052.3639
60	579280.4469
61	569870.7644
62	561299.2176
63	552699.5009
64	544737.8558
65	537174.5928
66	530347.9279
67	523642.1848
68	517209.7152
69	511728.7673
70	506164.1561
71	500496.2263
72	495165.8014
73	488257.5153
74	482869.2574
75	477453.0136
76	472208.9899
77	466938.0673
78	462351.9845
79	458374.2641
80	454968.7665
81	451017.4979
82	447514.0561
83	444169.9135
84	441255.1839
85	437934.1721
86	434789.8603
87	431656.5887
88	428855.8975
89	425801.8383
90	422179.5154
91	419115.0099
92	415905.1033
93	413204.7065
94	411031.0363
95	408393.9765
96	406122.1545
97	402994.0205
98	400717.3197
99	398302.6516
100	395653.8494
101	393738.7043
102	391775.2007
103	389397.0472
104	387294.1439
105	385509.1928
106	383961.0084
107	382152.2954
108	379870.7563
109	378054.5429
110	375412.9376
111	373534.2462
112	372067.2535
113	370966.8559
114	369208.8232
115	367744.7223
116	365868.6724
117	363927.9213
118	361926.6228
119	360118.0707
120	358376.6944
121	356091.8023
122	354268.8918
123	352107.574
124	350860.8987
125	348883.6803
126	346687.401
127	344520.0743
128	342681.0356
