iter	Passed	Remaining
0	146	146236
1	153	76644
2	160	53223
3	164	41061
4	170	33902
5	176	29268
6	181	25724
7	186	23074
8	192	21211
9	197	19545
10	202	18172
11	208	17158
12	213	16215
13	218	15376
14	224	14741
15	231	14227
16	236	13697
17	242	13204
18	247	12753
19	252	12349
20	257	12020
21	262	11672
22	267	11354
23	272	11080
24	277	10815
25	282	10566
26	287	10356
27	292	10143
28	296	9941
29	301	9762
30	307	9627
31	312	9454
32	318	9320
33	323	9193
34	328	9050
35	333	8940
36	339	8836
37	344	8720
38	349	8620
39	354	8512
40	360	8431
41	367	8378
42	372	8287
43	377	8203
44	384	8168
45	390	8103
46	403	8175
47	411	8157
48	418	8117
49	423	8051
50	430	8016
51	436	7961
52	442	7904
53	448	7860
54	454	7805
55	460	7760
56	466	7718
57	471	7664
58	478	7628
59	484	7587
60	489	7540
61	497	7528
62	504	7510
63	512	7498
64	518	7456
65	524	7422
66	532	7412
67	537	7371
68	544	7352
69	551	7325
70	558	7304
71	563	7263
72	568	7224
73	576	7213
74	582	7180
75	587	7139
76	594	7121
77	599	7087
78	606	7072
79	613	7056
80	620	7045
81	627	7019
82	632	6985
83	639	6971
84	644	6942
85	650	6911
86	656	6893
87	661	6860
88	667	6827
89	673	6810
90	678	6779
91	685	6761
92	690	6730
93	695	6699
94	702	6689
95	707	6660
96	712	6631
97	719	6623
98	727	6623
99	735	6620
100	741	6596
101	746	6569
102	753	6561
103	758	6537
104	765	6526
105	771	6508
106	777	6492
107	784	6476
108	790	6459
109	797	6451
110	803	6433
111	808	6407
112	815	6400
113	821	6381
114	827	6366
115	833	6354
116	839	6332
117	846	6326
118	854	6327
119	862	6322
120	867	6301
121	872	6282
122	880	6276
123	885	6254
124	893	6251
125	899	6239
126	905	6227
127	916	6246
128	927	6259
129	933	6246
130	943	6258
131	952	6263
132	959	6253
133	965	6240
134	972	6230
135	978	6216
136	984	6202
137	991	6194
138	997	6176
139	1002	6157
140	1008	6141
141	1013	6123
142	1018	6103
143	1023	6086
144	1028	6067
145	1034	6049
146	1039	6034
147	1045	6016
148	1050	5997
149	1056	5986
150	1061	5969
151	1067	5954
152	1072	5939
153	1078	5922
154	1084	5909
155	1089	5892
156	1094	5875
157	1099	5860
158	1105	5844
159	1110	5828
160	1115	5814
161	1120	5798
162	1126	5782
163	1131	5769
164	1136	5752
165	1141	5736
166	1147	5726
167	1153	5710
168	1158	5695
169	1166	5693
170	1171	5678
171	1176	5664
172	1182	5650
173	1187	5635
174	1192	5620
175	1197	5607
176	1202	5593
177	1208	5579
178	1214	5568
179	1219	5553
180	1224	5542
181	1230	5529
182	1235	5516
183	1240	5501
184	1246	5489
185	1251	5478
186	1256	5463
187	1262	5452
188	1267	5439
189	1272	5425
190	1278	5413
191	1283	5399
192	1288	5385
193	1293	5374
194	1299	5364
195	1304	5352
196	1310	5342
197	1315	5329
198	1321	5319
199	1326	5306
200	1331	5293
201	1336	5281
202	1342	5268
203	1346	5255
204	1351	5243
205	1357	5233
206	1363	5222
207	1368	5212
208	1374	5200
209	1379	5188
210	1384	5178
211	1390	5170
212	1396	5158
213	1402	5152
214	1408	5141
215	1413	5129
216	1418	5119
217	1423	5107
218	1429	5096
219	1434	5086
